UID          PID    PPID  C STIME TTY          TIME CMD
sassoul+    2151    1755  0 16:10 ?        00:00:00 /usr/libexec/gsd-power
sassoul+    2153    1755  0 16:10 ?        00:00:00 /usr/libexec/gsd-print-notifications
sassoul+    2154    1755  0 16:10 ?        00:00:00 /usr/libexec/gsd-rfkill
sassoul+    2155    1755  0 16:10 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
sassoul+    2156    1755  0 16:10 ?        00:00:00 /usr/libexec/gsd-sharing
sassoul+    2157    1755  0 16:10 ?        00:00:00 /usr/libexec/gsd-smartcard
sassoul+    2158    1755  0 16:10 ?        00:00:00 /usr/libexec/gsd-sound
sassoul+    2159    1755  0 16:10 ?        00:00:00 /usr/libexec/gsd-usb-protection
sassoul+    2160    1755  0 16:10 ?        00:00:00 /usr/libexec/gsd-wacom
sassoul+    2161    1755  0 16:10 ?        00:00:00 /usr/libexec/gsd-wwan
sassoul+    2162    1755  0 16:10 ?        00:00:00 /usr/libexec/gsd-xsettings
sassoul+    2199    1755  0 16:10 ?        00:00:00 /usr/libexec/gsd-printer
sassoul+    2231    2040  0 16:10 ?        00:00:00 /usr/libexec/ibus-engine-simple
sassoul+    2234    1755  0 16:10 ?        00:00:00 /usr/bin/spice-vdagent
sassoul+    2256    2003  0 16:10 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
sassoul+    2265    2003  0 16:10 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
sassoul+    2341    1755  0 16:10 ?        00:00:01 /usr/libexec/gnome-initial-setup --existing-user
sassoul+    2534    1755  0 16:11 ?        00:00:00 /usr/bin/gnome-calendar --gapplication-service
sassoul+    2539    1755  0 16:11 ?        00:00:06 /usr/libexec/gnome-terminal-server
sassoul+    2724    2539  0 16:11 pts/0    00:00:00 bash
sassoul+    2730    2003  0 16:11 ?        00:00:00 update-notifier
sassoul+    2793    1755  0 16:11 ?        00:00:01 /usr/bin/python3 /usr/bin/update-manager --no-update --no-focus-on-map
syslog      4846       1  0 16:11 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root       17759       2  0 16:24 ?        00:00:00 [kworker/2:0-events]
root       17839       2  0 16:30 ?        00:00:00 [kworker/1:0-events]
root       17852       2  0 16:30 ?        00:00:00 [kworker/6:0-events]
root       17854       2  0 16:30 ?        00:00:00 [kworker/6:4-events]
root       17890       2  0 16:34 ?        00:00:00 [kworker/5:0]
root       17891       2  0 16:34 ?        00:00:00 [kworker/4:0-events]
root       18363       2  0 16:38 ?        00:00:01 [kworker/u16:2-events_unbound]
root       18375       2  0 16:40 ?        00:00:00 [kworker/1:1-events]
root       18395       2  0 16:47 ?        00:00:00 [kworker/u16:0-events_power_efficient]
root       18466       2  0 16:51 ?        00:00:00 [kworker/7:4-events]
root       18535       2  0 16:58 ?        00:00:00 [kworker/3:0-mm_percpu_wq]
root       18540       2  0 17:00 ?        00:00:00 [kworker/u16:1-events_power_efficient]
root       18590       2  0 17:04 ?        00:00:00 [kworker/6:1-mm_percpu_wq]
root       18591       2  0 17:04 ?        00:00:00 [kworker/6:2]
sassoul+   19069    2724  0 17:06 pts/0    00:00:00 ps -ef
